Event,Category,Aspect,Measurement,Max. Score,Actual Score,
Korea WSI 2022 Special Edition - GameDay (Day1),Performancre Efficiency,Percentage of messages accepted for process >=90% (Availability),Availability >90%,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day1),Performancre Efficiency,Percentage of messages accepted for process >=80% (Availability),Availability 80% ~ 90%,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day1),Performancre Efficiency,Percentage of messages accepted for process >=70% (Availability),Availability 70% ~ 80%,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day1),Performancre Efficiency,Percentage of messages accepted for process >=60% (Availability),Availability 60% ~ 70%,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day1),Performancre Efficiency,Percentage of messages accepted for process >=30% (Availability),Availability 30% ~ 60%,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day1),Performancre Efficiency,Overall performance measured by system score board,"By Judge 

3        Players 1 to 3 on the score board get  1.5 point
2        Players 4 to 6 on the score board get 1 point
1        Players 7 and 8 on the score board get 0.5 point
0        All other player get 0 point",1.5,,
Korea WSI 2022 Special Edition - GameDay (Day1),Cost Optimization,Ratio of overall load to infrastructure deployment size,Ratio of recommended deployment size to actual. Full marks if .2 <= [CostRatio] <= 1.0,1.5,,
Korea WSI 2022 Special Edition - GameDay (Day2),Cost Optimization,Use of application caching solution.,"
Has CloudFront been configured?",2,,
Korea WSI 2022 Special Edition - GameDay (Day2),Operational Excellence,Recover more easily from both unintended user actions and application failures,Is S3 bucket versioning enabled ?,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day2),Operational Excellence,Convenient to troubleshoot network problems,Is VPC flow log enabled ?,1,,
Korea WSI 2022 Special Edition - GameDay (Day2),Operational Excellence,Effient way to categorize resources in different ways,Is EC2 instance tagged ?,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day2),Operational Excellence,Use network sharing file system,Is EFS used ?,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day2),Operational Excellence,Sufficient logging for key EKS components,Is there at least 1 EKS logging type exsiting ?,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day2),Operational Excellence,Cloudwatch Alarm to monitor instance status,"Has Cloudwatch alarm defined mean full marks, No Cloudwatch alarm defined mean zero mark",1,,
Korea WSI 2022 Special Edition - GameDay (Day2),Security,Assign resources least-privilege security policies and permissions,Is there less than 2 securiy groups having ingress rule which source is 0.0.0.0/0 ?,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day2),Security,Assign resources least-privilege security policies and permissions,Is there securiry group open port 22 to internet ?,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day2),Security,Data encryption,Is S3 bucket encryption enabled ?,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day2),Security,Limit the impact in the case of a leaked secret,Secret rotation enabled for the secrets in secret manager,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day2),Security,API server endpoint access,API server endpoint access (public & private),0.5,,
Korea WSI 2022 Special Edition - GameDay (Day2),Security,Data encryption in flight,"HTTPS URL submitted mean full marks, HTTP URL submitted mean zero mark",0.5,,
Korea WSI 2022 Special Edition - GameDay (Day2),Security,ECR security configration,"By Judge

3        ECR image tag immutable, Image scanning, Encryption (3/3)
2        ECR image tag immutable, Image scanning, Encryption (2/3)
1        ECR image tag immutable, Image scanning, Encryption (1/3)
0        No definied security policies",0.5,,
Korea WSI 2022 Special Edition - GameDay (Day2),Reliability,Better isolation and reduce blast radius,Are multi subnets defined accros Azs ?,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day2),Reliability,Application able to serve public traffic across multiple local networks,Are there multiple subnets in application deployment?,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day2),Reliability,Efficiently distributing incoming network traffic,Is ALB used ?,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day2),Reliability,Transaction timeout response rate per day,"Total network request timeouts
< 10% receives full marks; < 20% receives half marks; < 40% receives quarter marks",1,,
Korea WSI 2022 Special Edition - GameDay (Day2),Reliability,Data Reliability,Has RDS backup been configured?,1,,
Korea WSI 2022 Special Edition - GameDay (Day2),Reliability,Computing instances reliability and scalability,"By Judge

3	ASG used and has target tracing policy and scale based on alb requests
2	ASG used and has target tracing policy
1	ASG is used
0	ASG not used",1,,
Korea WSI 2022 Special Edition - GameDay (Day2),Performancre Efficiency,Daily overall response time average,If less than 4 seconds full marks,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day2),Performancre Efficiency,Add exception handling to simplify the flow of control,If larger than 10 full marks,1,,
Korea WSI 2022 Special Edition - GameDay (Day2),Performancre Efficiency,Percentage of messages accepted for process >=90% (Availability),Availability >90%,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day2),Performancre Efficiency,Percentage of messages accepted for process >=80% (Availability),Availability 80% ~ 90%,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day2),Performancre Efficiency,Percentage of messages accepted for process >=70% (Availability),Availability 70% ~ 80%,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day2),Performancre Efficiency,Percentage of messages accepted for process >=60% (Availability),Availability 60% ~ 70%,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day2),Performancre Efficiency,Percentage of messages accepted for process >=30% (Availability),Availability 30% ~ 60%,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day2),Performancre Efficiency,Overall performance measured by system score board,"By Judge 

3	Players 1 to 3 on the score board get  1.5 point
2	Players 4 to 6 on the score board get 1 point
1	Players 7 and 8 on the score board get 0.5 point
0	All other players get 0 point",1.5,,
Korea WSI 2022 Special Edition - GameDay (Day2),Cost Optimization,"Ratio of overall load to infrastructure deployment size
Use of application caching solution.
","Ratio of recommended deployment size to actual. Full marks if   .4 <= [CostRatio]  <= 2.2
Ratio of recommended deployment size to actual. Full marks if   .4 <= [CostRatio]  <= 1.7
Ratio of recommended deployment size to actual. Full marks if  .4 <= [CostRatio] <= 1.4
Has an application HTTP caching solution been configured?
","0.50
1.00
1.50
2.00
",,
Russia 2019 World Skill Competition,Cost Optimization,"Ratio of overall load to infrastructure deployment size
Use of application caching solution.
","Ratio of recommended deployment size to actual. Full marks if   .4 <= [CostRatio]  <= 2.2
Ratio of recommended deployment size to actual. Full marks if   .4 <= [CostRatio]  <= 1.7
Ratio of recommended deployment size to actual. Full marks if  .4 <= [CostRatio] <= 1.4
Has an application HTTP caching solution been configured?
","0.50
1.00
1.50
2.00
",,
Russia 2019 World Skill Competition,Operational Excellence,"1.Primary database deployed and operational

2.Secondary database deployed and operational

3.Local shared file storage operational

4.Automation of exception/refund responses.

5.Web apps served by auto-scaling infrastructure

6.Limited operational impact to system/network outage.
","1.Is the primary application serving results?

2.Is the stub application serving results?

3.Is there a shared file storage solution in place?

4.Once students are hands off of their architectures, can a single refund be processed

5.Full marks: all web apps successfully routed to endpoints served by auto scaling, demand driven infra. Half marks if 1+ app does. Zero marks if no endpoints do.","1.0.50
2.0.50
3.0.50
4.1.00
5.2.00
",,
Russia 2019 World Skill Competition,Operational Excellence,Automation of application deployment process,"0:Neither all instance scaling or high-level services are deployed in a multi-AZ configuration
1:Either all higher level services or instance scaling is spread across multi-AZ and subnets
2:Acceptable and meets industry standard - ELB, EC2
3: All services span multiple availability zones and subnets, HTTP Caching multi AZ

0:No automation in place
1:There is minimal process automation in place with ASG but manual scaling.
2:Majority of processes are automated, ASG with automated scaling metrics configured
3:Full solutions deployments are automated with memcached solution and automated refunds.",,,
Russia 2019 World Skill Competition,Operational Excellence,"1.Root Application Successes

2.Lookup Application Successes

3.URL routing configured according to documentation

4.Automation of exception/refund responses.

5.Web apps served by auto-scaling infrastructure

6.Feline Takeover Module Complete

7.Limited operational impact to system/network outage.
","1.Is the Root application serving results?

2.Is the Lookup application serving results?

3.Web traffic is configured to route traffic from documented URLs to multiple different endpoints

4.Once students are hands off of their architectures, can a single refund be processed

5.Full marks: all web apps successfully routed to endpoints served by auto scaling, demand driven infra. Half marks if 1+ app does. Zero marks if no endpoints do.

","1. 0.50

2. 0.50

3. 1.00

4. 1.00

5. 2.00

6. 0.50

7. 1.00
",,
Russia 2019 World Skill Competition,Operational Excellence,1.Automation of application deployment process,"0: Neither all instance scaling or high-level services are deployed in a multi-AZ configuration
1: Either all higher level services or instance scaling is spread across multi-AZ and subnets
2: Acceptable and meets industry standard - ELB, EC2
3: All services span multiple availability zones and subnets, HTTP Caching multi AZ

0:No automation in place
1:There is minimal process automation in place with ASG but manual scaling.
2:Majority of processes are automated, ASG with automated scaling metrics configured
3:Full solutions deployments are automated with memcached solution and automated refunds.
",1,,
Russia 2019 World Skill Competition,Operational Excellence,"1.Automated Incident Response
2.Automated Incident Response
3.Automated Incident Response
4.Automated Incident Response
","1.Automated Incident Response Challenge Completed Less than all Clues used mean full marks, All Clues used mean zero mark

2.Automated Incident Response Challenge Completed <= 2 Clues used mean full marks, more than 2 clues used mean zero mark

3.Automated Incident Response Challenge Completed <=1 Clues used mean full marks, more than 1 clues used mean zero mark

4.Automated Incident Response Challenge Completed 0 Clues used mean full marks, more than 0 clues used mean zero mark
","1. 0.50

2. 0.50

3. 1.00

4. 1.00
",,
Russia 2019 World Skill Competition,Operational Excellence,"1.Identify and Mitigate Configuration Drift
2.Identify and Mitigate Configuration Drift
3.Identify and Mitigate Configuration Drift
4.Identify and Mitigate Configuration Drift
","1.Identify and Mitigte Configuration Drift Challenge Completed Less than all Clues used mean full marks, All Clues used mean zero mark

2.Identify and Mitigte Configuration Drift Challenge Completed <= 2 Clues used mean full marks, more than 2 clues used mean zero mark

3.Identify and Mitigte Configuration Drift Challenge Completed <=1 Clues used mean full marks, more than 1 clues used mean zero mark

4.Identify and Mitigte Configuration Drift Challenge Completed 0 Clues used mean full marks, more than 0 clues used mean zero mark
","1. 0.50
2. 0.50
3. 1.00
4. 1.00
",,
Russia 2019 World Skill Competition,Security,"1.Public access to database or database cache?

2.Assign resources least-privilege security policies and permissions
","1.Blocks unrestricted network access to cache database or production database?

2.All services (S3 and instances) are utilizing defined and recommended security policies = 1 mark
3.Only Instances are utilizing defined security policies
4.Only S3 are utilizing defined security policies
5. No definied security policies
","1. 2.00
2. 2.00",,
Russia 2019 World Skill Competition,Security,"1.Does the application block suspected web attacks?
2.Reject traffic from known malicious sources
3.Reject traffic from known malicious sources
4.Reject traffic from known malicious sources
5.Completed S3 Access Module
","1.If greater than 50% of web attacks are blocked?

2.% of packets from bad IPs/subnets blocked >10% Full marks

3.% of packets from bad IPs/subnets blocked  >30% Full marks

4.% of packets from bad IPs/subnets blocked  >60% Full marks

5.S3 Access Module Completed

6.No Marks: All clues used

7.0,67 Marks: 2 Clues used

8.1,33 Marks 1 Clue used

9.Full Marks: No Clues
","1. 2.00

2. 1.00

3.1.00

4.1.00

5. 2.00",,
Russia 2019 World Skill Competition,Security,"1.Perfect World
2.Perfect World
3.Perfect World
4.Perfect World
6.Too Many Secrets
7.Too Many Secrets
8.Too Many Secrets
9.Too Many Secrets
","1.Perfect World Module Completed Less than all Clues used mean full marks, All Clues used mean zero mark

2.Perfect World Module Completed <= 2 Clues used mean full marks, more than 2 clues used mean zero mark

3.Perfect World Module Completed <=1 Clues used mean full marks, more than 1 clues used mean zero mark

4.Perfect World Module Completed 0 Clues used mean full marks, more than 0 clues used mean zero mark

5.Too many Secretes Module Completed Less than all Clues used mean full marks, All Clues used mean zero mark

6.Too many Secretes Module Completed <= 2 Clues used mean full marks, more than 2 clues used mean zero mark

8.Too many Secretes Module Completed <=1 Clues used mean full marks, more than 1 clues used mean zero mark

9.Too many Secretes Module Completed 0 Clues used mean full marks, more than 0 clues used mean zero mark
","1.0.50

2.0.50

3.1.00

4.1.00

6.0.50

7.0.50

9.1.00

10.1.00
",,
Russia 2019 World Skill Competition,Security,"1.Find the Rogue Script

2.Find the Rogue Script

3.Find the Rogue Script

4.Find the Rogue Script

5.Strengthen API Defense

6.Strengthen API Defense

7.Strengthen API Defense

8.Strengthen API Defense
","1.Find the Rogue Script Module Completed Less than all Clues used mean full marks, All Clues used mean zero mark

2.Find the Rogue Script Module Completed <= 2 Clues used mean full marks, more than 2 clues used mean zero mark

3.Find the Rogue Script Module Completed <=1 Clues used mean full marks, more than 1 clues used mean zero mark

4.Find the Rogue Script Module Completed 0 Clues used mean full marks, more than 0 clues used mean zero mark

5.Strengthen API Defense Module Completed Less than all Clues used mean full marks, All Clues used mean zero mark

6.Strengthen API Defense Module Completed <= 2 Clues used mean full marks, more than 2 clues used mean zero mark

7.Strengthen API Defense Module Completed <=1 Clues used mean full marks, more than 1 clues used mean zero mark

8.Strengthen API Defense Module Completed 0 Clues used mean full marks, more than 0 clues used mean zero mark
","1.0.50

2.0.50

3.1.00

4.1.00

5.1.00

6.1.00

7.1.00

8. 2.00
",,
Russia 2019 World Skill Competition,Reliability,"1.Application able to serve public traffic across multiple local networks

2.Application continues to serve requests against high load.

3.Application maintains an operational state during local network failure

4.Network traffic isolation in place

5.Transaction timeout response rate per day
","1.Is there use of multiple subnets in application deployment (EC2 only)?

2.Is the application still servering requests after load has been set to 200 for 10 minutes?

3.In the event of a subnet failure, does the security model allow for the continued serving of traffic?

4.Are deployed internal-only services not available externally?

5.Total network request timeouts
< 10% receives full marks; < 20% receives half marks; < 40% receives quarter marks""
","1.2.00

2.2.00

3.2.00

4.2.00

5.2.00
",,
Russia 2019 World Skill Competition,Reliability,"1.Both applications able to serve public traffic across multiple local networks
2.Application continues to serve requests against high load.
3.Application maintains an operational state during local network failure
4.Network traffic isolation in place
5.Transaction timeout response rate per day
","1.Is there use of multiple subnets in application deployment (EC2 only)?

2.Is the application still servering requests after load has been set to 200 for 10 minutes?

3.In the event of a subnet failure, does the security model allow for the continued serving of traffic?

4.Are deployed internal-only services not available externally?

5.""Total network request timeouts
< 10% receives full marks; < 20% receives half marks; < 40% receives quarter marks""
","1.2.00

2.2.00

3.2.00

4.2.00

5.2.00
",,
Russia 2019 World Skill Competition,Reliability,"1.High Availability

2.High Availability

3.High Availability

4.High Availability
","1.High Availability Module Completed Less than all Clues used mean full marks, All Clues used mean zero mark

2.High Availability Module Completed <= 2 Clues used mean full marks, more than 2 clues used mean zero mark

3.High Availability Module Completed <=1 Clues used mean full marks, more than 1 clues used mean zero mark

4.High Availability Module Completed 0 Clues used mean full marks, more than 0 clues used mean zero mark
","1.1.00

2.1.00

3.1.00

4.2.00
",,
Russia 2019 World Skill Competition,Performancre Efficiency,"1.Application response time in milliseconds lowest

2.Application response time in milliseconds lowest

3.Identified infrastructure scales to meet demand.

4.Daily overall response time average

5.Percentage of messages accepted for process.
","1.Lowest response rate in milliseconds recorded < 500ms Full marks

2.Lowest response rate in milliseconds recorded  < 100ms Full marks

3.Application scales once competitors are hands off

4.If less than 2 seconds full marks

5.Total percentage per day of messages accepted for processing by infrastructure.
Full marks for >80%. 50% marks for >70%. 70% or less = no marks
","1.1.25

2.1.25

3.2.00

4.2.00

5.1.00
",,
Russia 2019 World Skill Competition,Performancre Efficiency,"1.Application response time in milliseconds lowest

2.Application response time in milliseconds lowest

3.Identified infrastructure scales to meet demand.

4.Daily overall response time average

5.Percentage of messages accepted for process.

6.Monoliths to Containers Migration complete

7.Monoliths to Containers Migration complete

8.Monoliths to Containers Migration complete

9.Monoliths to Containers Migration complete
","1.Lowest response rate in milliseconds recorded < 500ms Full marks

2.Lowest response rate in milliseconds recorded  < 100ms Full marks

3.Application scales once competitors are hands off

4.If less than 2 seconds full marks

5.Total percentage per day of messages accepted for processing by infrastructure.

Full marks for >80%. 50% marks for >70%. 70% or less = no marks

6.Monoliths to Containers Migration Module Completed Less than all Clues used mean full marks, All Clues used mean zero mark

7.Monoliths to Containers Migration Module Completed <= 2 Clues used mean full marks, more than 2 clues used mean zero mark

8.Monoliths to Containers Migration Module Completed <=1 Clues used mean full marks, more than 1 clues used mean zero mark

9.Monoliths to Containers Migration Module Completed 0 Clues used mean full marks, more than 0 clues used mean zero mark
","1.1.25

2.1.25

3.2.00

4.2.00

5.1.00


6.1.00

7.1.00

8.1.00

9.2.00
",,
Russia 2019 World Skill Competition,,,,,,
