Event,Category,Aspect,Measurement,Max. Score,Actual Score,
Ireland Friendly 2024 - GameDay,,,Logging scenario.,2,0,
Ireland Friendly 2024 - GameDay,,,Not use default name space.,1,0,
Ireland Friendly 2024 - GameDay,,,Cloudwatch Alarm to monitor instance status.,1,1,
Ireland Friendly 2024 - GameDay,,,Assign resources least-privilege security policies and permissions (a).,1,0,
Ireland Friendly 2024 - GameDay,,,Assign resources least-privilege security policies and permissions (b). ,1,0,
Ireland Friendly 2024 - GameDay,,,Data encryption.,1,1,
Ireland Friendly 2024 - GameDay,,,Limit the impact in the case of a leaked secret.,2,2,
Ireland Friendly 2024 - GameDay,,,Use endpoint.,1,0,
Ireland Friendly 2024 - GameDay,,,Data encryption in flight.,1,1,
Ireland Friendly 2024 - GameDay,,,ECR security configuration.,3,3,
Ireland Friendly 2024 - GameDay,,,Multi AZ.,1,1,
Ireland Friendly 2024 - GameDay,,,Application able to serve public traffic across multiple local networks.,1,1,
Ireland Friendly 2024 - GameDay,,,Efficiently distributing incoming network traffic.,2,2,
Ireland Friendly 2024 - GameDay,,,Data Reliability.,2,2,
Ireland Friendly 2024 - GameDay,,,Computing storage reliability and scalability.,3,3,
Ireland Friendly 2024 - GameDay,,,EKS logging types.,3,3,
Ireland Friendly 2024 - GameDay,,,Overall performance measured by system score board.,6,3.86,
Ireland Friendly 2024 - GameDay,,,Cost Optimization,3,3,27 / 40
Korea Friendly 2024 - GameDay,,,"Operation Excellence
- Is S3 Versioning enabled? (Not complete)
- Is VPC flow log enabled? (Not complete)",8,5,
Korea Friendly 2024 - GameDay,,,"Security
- Is there less than 2 secuirty groups having ingress rule (Not complete)
- Is there secuirty group open port 22 to internet? (Not complete)
- Secret rotation enabled for the secrets in secret manager (Not complete)
- HTTPS URL submitted mean full marks (Not complete) ",11,5,
Korea Friendly 2024 - GameDay,,,Reliablity,8,8,
Korea Friendly 2024 - GameDay,,,"Performance Efficiency
- Overall Performance measured by system scoreboard",10,6,
Korea Friendly 2024 - GameDay,,,Overall Performance measured by system scoreboard,8,0.3,10.3 / 40
ShenZhen Friendly 2024 - GameDay,,,Is there less than 2 secuirty groups having ingress rule,2,0,
ShenZhen Friendly 2024 - GameDay,,,Is there secuirty group open port 22 to internet?,2,0,
ShenZhen Friendly 2024 - GameDay,,,Is S3 bucket encryption enabled? - S3BucketEncrypted,2,2,
ShenZhen Friendly 2024 - GameDay,,,Is the application deployed in a private subnet?,3,3,
ShenZhen Friendly 2024 - GameDay,,,Are multi subnets defined accross AZs?,3,3,
ShenZhen Friendly 2024 - GameDay,,,Is ASG being used?,3,0,
ShenZhen Friendly 2024 - GameDay,,,Is the MaxSize of ASG less than 50?,3,0,
ShenZhen Friendly 2024 - GameDay,,,Is ALB being used?,3,0,
ShenZhen Friendly 2024 - GameDay,,,Is S3 Versioning enabled?,3,0,
ShenZhen Friendly 2024 - GameDay,,,Is VPC flow log enabled?,3,0,
ShenZhen Friendly 2024 - GameDay,,,Is EC2 instance tagged?,2,2,
ShenZhen Friendly 2024 - GameDay,,,Is ALB log enabled?,3,0,
ShenZhen Friendly 2024 - GameDay,Cost Optimization,Ratio of overall load to infrastructure deployment size,Ratio of recommended deployment size to actual. Full marks if .2 <= [CostRatio] <= 1.0,1.5,,
Korea WSI 2022 Special Edition - GameDay (Day1),Cost Optimization,Use of application caching solution.,"
Has CloudFront been configured?",2,,
Korea WSI 2022 Special Edition - GameDay (Day1),Operational Excellence,"Recover more easily from both unintended user actions and application failures",Is S3 bucket versioning enabled ?,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day1),Operational Excellence,Convenient to troubleshoot network problems,Is VPC flow log enabled ?,1,,
Korea WSI 2022 Special Edition - GameDay (Day1),Operational Excellence,Effient way to categorize resources in different ways,Is EC2 instance tagged ?,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day1),Operational Excellence,Shorten system boot time,Is there any self baked AMI ?,1,,
Korea WSI 2022 Special Edition - GameDay (Day1),Operational Excellence,Cloudwatch Alarm to monitor instance status,"Has Cloudwatch alarm defined mean full marks, No Cloudwatch alarm defined mean zero mark",1,,
Korea WSI 2022 Special Edition - GameDay (Day1),Security,Assign resources least-privilege security policies and permissions,Is there less than 2 securiy groups having ingress rule which source is 0.0.0.0/0 ?,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day1),Security,Assign resources least-privilege security policies and permissions,Is there securiry group open port 22 to internet ?,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day1),Security,Database security,Is DynamoDB  encryption enabled?,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day1),Security,Better isolation for computing instances,Is EC2 (besides bastion host) in private subnets ?,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day1),Security,Data encryption,Is S3 bucket encryption enabled ?,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day1),Security,Data encryption in flight,"HTTPS URL submitted mean full marks, HTTP URL submitted mean zero mark",0.5,,
Korea WSI 2022 Special Edition - GameDay (Day1),Security,Assign resources least-privilege security policies and permissions,"By Judge

3	All services (S3 and instances) are utilizing defined and recommended security policies
2	Only Instances are utilizing defined security policies
1	Only S3 are utilizing defined security policies
0	No definied security policies",0.5,,
Korea WSI 2022 Special Edition - GameDay (Day1),Reliability,Better isolation and reduce blast radius,Are multi subnets defined accros Azs ?,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day1),Reliability,Application able to serve public traffic across multiple local networks,Are there multiple subnets in application deployment?,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day1),Reliability,Efficiently distributing incoming network traffic,Is ALB used ?,0.5,,
Korea WSI 2022 Special Edition - GameDay (Day1),Reliability,Transaction timeout response rate per day,"Total network request timeouts
< 10% receives full marks; < 20% receives half marks; < 40% receives quarter marks",1,,
Korea WSI 2022 Special Edition - GameDay (Day1),Reliability,Data Reliability,Is DynamoDB has backup configured,1,,
Korea WSI 2022 Special Edition - GameDay (Day1),Reliability,Computing instances reliability and scalability,"By Judge

3        ASG used and has target tracing policy and scale based on alb requests
2        ASG used and has target tracing policy
1        ASG is used
0        ASG not used",1,,
Korea WSI 2022 Special Edition - GameDay (Day1),Performancre Efficiency,Daily overall response time average,If less than 4 seconds mean full marks,0.5,,
